JLCPCB Basic & Promotional Extended parts: $0 feeder loading fee in Economic PCBA. Fetched 2026-09-16 via the parts API
(componentLibraryType=base + preferredComponentFlag=true + searchType=2). 1586 parts: 351 Basic, 1235 Promotional Extended.
columns: LCSC# | type | MPN | brand | package | price@1 | price@100 USD | stock | description

== 555 Timers / Counters (1)
C105432    | Basic | S8550(RANGE:120-200)         | Jiangsu Changjing  | SOT-23         | 0.0160 | 0.0160 |  253584 | -55℃~+150℃ 1 PNP 100nA 120 150MHz 25V 300mW 500mA 5V 600mV PNP SOT-23 Bipolar (BJT) ROHS
C20069129  | Promo | S9012                        | hongjiacheng       | SOT-23         | 0.0088 | 0.0088 |  239886 | -55℃~+150℃ 1 PNP 100nA 120 150MHz 25V 300mW 500mA 5V 600mV PNP SOT-23 Bipolar (BJT) ROHS
C8543      | Basic | S9012 2T1(RANGE:200-350)     | Jiangsu Changjing  | SOT-23         | 0.0185 | 0.0185 |  238831 | -55℃~+150℃ 1 PNP 100nA 120 150MHz 25V 300mW 500mA 5V 600mV PNP SOT-23 Bipolar (BJT) ROHS
C20069127  | Promo | S9013                        | hongjiacheng       | SOT-23         | 0.0121 | 0.0121 |  722561 | -55℃~+150℃ 1 NPN 100nA 120 150MHz 25V 300mW 500mA 5V 600mV NPN SOT-23 Bipolar (BJT) ROHS
C6749      | Basic | S9013 J3(RANGE:200-350)      | Jiangsu Changjing  | SOT-23         | 0.0148 | 0.0148 |  837524 | -55℃~+150℃ 1 NPN 100nA 120 150MHz 25V 300mW 500mA 5V 600mV NPN SOT-23 Bipolar (BJT) ROHS
C20069130  | Promo | S9014                        | hongjiacheng       | SOT-23         | 0.0104 | 0.0104 | 2478255 | -55℃~+150℃ 1 NPN 100mA 100nA 150MHz 200 200mW 300mV 45V 5V NPN SOT-23 Bipolar (BJT) ROHS
C20069131  | Promo | S9015                        | hongjiacheng       | SOT-23         | 0.0095 | 0.0095 |   59028 | -55℃~+150℃ 1 PNP 100mA 100nA 150MHz 200 200mW 300mV 45V 5V PNP SOT-23 Bipolar (BJT) ROHS
C2149      | Promo | S9015(RANGE:300-400)         | Jiangsu Changjing  | SOT-23         | 0.0121 | 0.0121 |  243107 | -55℃~+150℃ 1 PNP 100mA 100nA 150MHz 200 200mW 300mV 45V 5V PNP SOT-23 Bipolar (BJT) ROHS
C41375130  | Promo | S9018                        | hongjiacheng       | SOT-23         | 0.0146 | 0.0146 |   52964 | -55℃~+150℃ 1 NPN 15V 200 200mW 500mV 50mA 50nA 5V 800MHz NPN Standalone SOT-23 Bipolar (BJT) ROHS
C431710    | Promo | SS8050                       | MDD(Microdiode Sem | SOT-23         | 0.0155 | 0.0155 | 1619889 | -55℃~+150℃ 1 NPN 1.5A 100MHz 100nA 25V 300mW 400 500mV 5V NPN SOT-23 Bipolar (BJT) ROHS
C7420370   | Promo | SS8050                       | hongjiacheng       | SOT-23         | 0.0124 | 0.0124 | 6328012 | -55℃~+150℃ 1 NPN 1.5A 100MHz 100nA 120 25V 300mW 500mV 5V NPN SOT-23 Bipolar (BJT) ROHS
C2150      | Basic | SS8050(RANGE:200-350)        | Jiangsu Changjing  | SOT-23         | 0.0160 | 0.0160 | 1083479 | -55℃~+150℃ 1 NPN 1.5A 100MHz 100nA 200 25V 300mW 500mV 5V NPN SOT-23 Bipolar (BJT) ROHS
C7420371   | Promo | SS8550                       | hongjiacheng       | SOT-23         | 0.0123 | 0.0123 | 1526457 | -55℃~+150℃ 1 PNP 1.5A 100MHz 100nA 120 25V 300mW 500mV 5V PNP SOT-23 Bipolar (BJT) ROHS
C8542      | Basic | SS8550 Y2(RANGE:200-350)     | Jiangsu Changjing  | SOT-23         | 0.0150 | 0.0150 |  818936 | -55℃~+150℃ 1 PNP 1.5A 100MHz 100nA 200 25V 300mW 500mV 5V PNP SOT-23 Bipolar (BJT) ROHS
C22388837  | Promo | MMST3904                     | hongjiacheng       | SOT-323        | 0.0174 | 0.0174 |  224718 | -55℃~+150℃ 1 NPN 200mA 200mW 300MHz 300mV 40 40V 5V 60nA NPN Standalone SOT-323 Bipolar (BJT) ROHS
C41375126  | Promo | BC847BS                      | hongjiacheng       | SOT-363        | 0.0272 | 0.0272 |    2818 | -55℃~+150℃ 100MHz 100mA 100nA 2 NPN 200mW 45V 500mV 6V 800 NPN Standalone SOT-363 Bipolar (BJT) ROHS
C41375117  | Promo | MMDT2227                     | hongjiacheng       | SOT-363        | 0.0629 | 0.0500 |   44309 | 1 NPN + 1 PNP 10nA 200mW 300 300MHz 300mV 600mA 60V 6V NPN+PNP Standalone SOT-363 Bipolar (BJT) ROHS
C41375125  | Promo | MMDT3904                     | hongjiacheng       | SOT-363        | 0.0295 | 0.0295 |  103780 | 100nA 2 NPN 200mA 200mW 300 300MHz 300mV 40V 6V NPN Standalone SOT-363 Bipolar (BJT) ROHS
C41375116  | Promo | MMDT5551                     | hongjiacheng       | SOT-363        | 0.0323 | 0.0284 |   19233 | 160V 2 NPN 200mA 200mV 200mW 300 300MHz 50nA 6V NPN Standalone SOT-363 Bipolar (BJT) ROHS
C41375139  | Promo | 2SA1013                      | hongjiacheng       | SOT-89         | 0.0803 | 0.0648 |   56125 | -55℃~+150℃ 1 PNP 1.5V 15MHz 160V 1A 1uA 320 500mW 6V PNP Standalone SOT-89 Bipolar (BJT) ROHS
C41375121  | Promo | 2SA1201                      | hongjiacheng       | SOT-89         | 0.0726 | 0.0576 |    1683 | 1 PNP 100nA 120MHz 120V 1V 240 500mW 5V 800mA PNP SOT-89 Bipolar (BJT) ROHS
